STATE,CITY,LOCATION,ENERGY,AREA,IT EQUIPMENT POWER,State_Aggregated_PUE,FULL_CABINETS,PARTIAL_CABINETS,SHARED_RACKSPACE,CAGES,SUITES,BUILD_TO_SUIT,FOOTPRINTS,REMOTE_HANDS,YEAR_OPERATIONAL,State_Aggregated_IXP_Count
AZ,Phoenix,TierPoint Phoenix,2.4,115000,1.66,1.65,True,True,True,True,True,False,True,True,2010.0,4
AZ,Phoenix,Vantage AZ01,121.7,499000,94.93,1.65,True,False,False,True,True,True,True,True,2020.0,4
AZ,Phoenix,Cologix PHX1,13.2,100000,8.98,1.65,True,True,True,True,False,False,True,True,2009.0,4
AZ,Chandler,DataBank PHX3 - Chandler,7.3,184000,5.11,1.65,True,True,True,True,True,False,True,True,2012.0,4
AZ,Chandler,CyrusOne PHX2 - Chandler,71.1,526000,53.32,1.65,True,True,False,True,True,True,True,True,2012.0,4
NJ,Parsippany,Equinix NY5,14.0,371000,10.08,1.62,True,True,True,True,True,True,True,True,2010.0,7
NJ,Parsippany,DataBank NJ1,11.2,204000,7.84,1.62,True,True,True,True,True,False,True,True,2007.0,7
NJ,Parsippany,Cologix NJ1,4.9,84000,3.33,1.62,True,True,True,True,False,False,True,True,2013.0,7
NJ,Parsippany,Iron Mountain NJ1,10.2,176000,6.94,1.62,True,True,True,True,False,False,True,True,2006.0,7
NJ,Parsippany,TierPoint New Jersey,7.6,86000,5.24,1.62,True,True,True,True,True,False,True,True,2017.0,7
NJ,Secaucus,Equinix NY4,19.9,59000,14.33,1.62,True,True,True,True,True,True,True,True,2007.0,7
NJ,Secaucus,Equinix NY7,13.0,386000,9.36,1.62,True,True,True,True,True,True,True,True,2007.0,7
NJ,Secaucus,DataBank NJ2 - Secaucus,4.0,161000,2.8,1.62,True,True,True,True,True,False,True,True,2011.0,7
NJ,Secaucus,Lumen Secaucus 1,7.6,31000,4.94,1.62,True,True,True,False,False,False,True,True,2014.0,7
NJ,Newark,DataBank NJ3 - Newark,29.6,55000,20.72,1.62,True,True,True,True,True,False,True,True,2018.0,7
NJ,Newark,Cologix NJ2,4.5,19000,3.06,1.62,True,True,True,True,False,False,True,True,2014.0,7
NJ,Newark,Iron Mountain Newark,3.0,187000,2.04,1.62,True,True,True,True,False,False,True,True,2015.0,7
NJ,Newark,Flexential Newark,14.4,170000,10.08,1.62,True,True,True,True,True,False,True,True,2006.0,7
OR,Portland,Equinix PT1,21.4,74000,15.41,1.45,True,True,True,True,True,True,True,True,2009.0,5
OR,Portland,Equinix PT2,33.0,282000,23.76,1.45,True,True,True,True,True,True,True,True,2002.0,5
OR,Portland,DataBank PDX1,22.4,96000,15.68,1.45,True,True,True,True,True,False,True,True,2009.0,5
OR,Portland,Cologix PDX1,10.7,49000,7.28,1.45,True,True,True,True,False,False,True,True,2010.0,5
OR,Portland,TierPoint Portland,10.9,44000,7.52,1.45,True,True,True,True,True,False,True,True,2012.0,5
OR,Portland,Flexential Portland,14.2,164000,9.94,1.45,True,True,True,True,True,False,True,True,2019.0,5
OR,Portland,Iron Mountain Portland,15.5,99000,10.54,1.45,True,True,True,True,False,False,True,True,1998.0,5
OR,Portland,Lumen Portland 1,3.7,24000,2.41,1.45,True,True,True,False,False,False,True,True,2013.0,5
