STATE,CITY,LOCATION,ENERGY,AREA,IT EQUIPMENT POWER,State_Aggregated_PUE,FULL_CABINETS,PARTIAL_CABINETS,SHARED_RACKSPACE,CAGES,SUITES,BUILD_TO_SUIT,FOOTPRINTS,REMOTE_HANDS,YEAR_OPERATIONAL,State_Aggregated_IXP_Count,Cluster,PCA1,PCA2
NJ,Secaucus,DataBank NJ2 - Secaucus,4.0,161000,2.8,1.62,1,1,1,1,1,0,1,1,2011.0,7,1,-1.1071803488103984,-0.6873920967537892
NJ,Secaucus,Lumen Secaucus 1,7.6,31000,4.94,1.62,1,1,1,0,0,0,1,1,2014.0,7,1,0.3042441773465733,-2.1539013252629857
NJ,Newark,DataBank NJ3 - Newark,29.6,55000,20.72,1.62,1,1,1,1,1,0,1,1,2018.0,7,1,-0.7920453217130549,0.0694264817033241
NJ,Newark,Cologix NJ2,4.5,19000,3.06,1.62,1,1,1,1,0,0,1,1,2014.0,7,1,-0.8860397435087071,-1.7348491703168978
NJ,Newark,Iron Mountain Newark,3.0,187000,2.04,1.62,1,1,1,1,0,0,1,1,2015.0,7,1,-0.7904475716316054,-1.251276558608869
NJ,Newark,Flexential Newark,14.4,170000,10.08,1.62,1,1,1,1,1,0,1,1,2006.0,7,1,-0.9802702841121396,-0.26530125910640545
OR,Portland,Equinix PT1,21.4,74000,15.41,1.45,1,1,1,1,1,1,1,1,2009.0,5,1,-0.732636232167511,0.35595896304314256
OR,Portland,Equinix PT2,33.0,282000,23.76,1.45,1,1,1,1,1,1,1,1,2002.0,5,0,-0.4640290660432035,1.4573647387606499
OR,Portland,DataBank PDX1,22.4,96000,15.68,1.45,1,1,1,1,1,0,1,1,2009.0,5,1,-0.6091659194781319,-0.2784636879152804
OR,Portland,Cologix PDX1,10.7,49000,7.28,1.45,1,1,1,1,0,0,1,1,2010.0,5,1,-0.5037369274343626,-1.5388221125337371
OR,Portland,TierPoint Portland,10.9,44000,7.52,1.45,1,1,1,1,1,0,1,1,2012.0,5,1,-0.7899309619598196,-0.8996471839701171
OR,Portland,Flexential Portland,14.2,164000,9.94,1.45,1,1,1,1,1,0,1,1,2019.0,5,1,-0.6318530846002363,-0.33082966884822196
OR,Portland,Iron Mountain Portland,15.5,99000,10.54,1.45,1,1,1,1,0,0,1,1,1998.0,5,1,-0.45974343917209837,-1.2643734989980961
OR,Portland,Lumen Portland 1,3.7,24000,2.41,1.45,1,1,1,0,0,0,1,1,2013.0,5,1,0.5391051056756023,-2.4613703726254137
CO,Denver,Equinix DE1,32.3,162000,23.26,1.55,1,1,1,1,1,1,1,1,2013.0,4,1,-0.6944816672842512,1.2124163773513619
CO,Denver,Equinix DE2,24.9,124000,17.93,1.55,1,1,1,1,1,1,1,1,2014.0,4,1,-0.8187847925453696,0.7897458064299889
CO,Denver,DataBank DEN1,24.4,241000,17.08,1.55,1,1,1,1,1,0,1,1,2005.0,4,1,-0.6945689632563943,0.33619217157797027
CO,Denver,DataBank DEN2,20.8,92000,14.56,1.55,1,1,1,1,1,0,1,1,2020.0,4,1,-0.7749793031408301,-0.18883267964344025
CO,Denver,Cologix DEN1,10.1,24000,6.87,1.55,1,1,1,1,0,0,1,1,2008.0,4,1,-0.7286841269171858,-1.5612273496129518
CO,Denver,Cologix DEN2,10.7,38000,7.28,1.55,1,1,1,1,0,0,1,1,2007.0,4,1,-0.7157452366438694,-1.4987376981470086
CO,Denver,Flexential Denver,4.7,27000,3.29,1.55,1,1,1,1,1,0,1,1,2015.0,4,1,-1.0632603899749649,-1.0900794238998928
CO,Denver,Iron Mountain Denver,16.4,160000,11.15,1.55,1,1,1,1,0,0,1,1,2012.0,4,1,-0.5344335238693565,-0.8449380030974991
CO,Denver,TierPoint Denver,8.6,101000,5.93,1.55,1,1,1,1,1,0,1,1,2006.0,4,1,-1.0020397565432912,-0.7555726417688101
CO,Denver,Lumen Denver 1,7.5,36000,4.88,1.55,1,1,1,0,0,0,1,1,2007.0,4,1,0.37943483482611623,-2.2171846055631783
